Categorias e Subcategorias,Planejamento
Receitas,---
PLR & Bonus,---
Renda Extra,---
Salário & 13,---
Henrique,---
Keth,---
Despesas Mensais,"15.232,41"
Alimentação,"750,00"
Restaurantes e Bares,"600,00"
Delivery,"100,00"
Padaria,"50,00"
Assinaturas,"261,61"
Seguro Celular,"138,01"
Streaming,"123,60"
Serviços e Apps,---
Educação,"1.897,00"
MBA,"1.605,00"
Livros,"150,00"
App e Serviços,"95,00"
Cursos,"47,00"
Gastos Pessoais,"650,00"
Salão,"250,00"
Eletrônicos e Gadgets,"200,00"
Roupas e Sapatos,"200,00"
Lazer,"100,00"
"Cinema, Teatro","100,00"
Outros Lazer,---
Moradia,"6.855,05"
Parcela Ap,"3.045,05"
Aluguel,"2.270,00"
Condominio,"700,00"
Internet,"470,00"
Itens de casa,"200,00"
Energia,"170,00"
Água,---
Manutenção,---
Outros Gastos,"300,00"
Doação,"200,00"
Presente,"100,00"
Casamento,---
Outros,---
Pets,"250,00"
Banho e Tosa,"250,00"
Consulta Pet,---
Petshop,---
Saúde,"3.068,75"
Consulta e Procedimento,"1.580,00"
Academia,"900,00"
Farmacia,"350,00"
Esportes e Atividades,"238,75"
Plano de Saúde,---
Suplemento,---
Supermercado,"450,00"
Lojinha,"200,00"
Mercado,"150,00"
Feira,"100,00"
Transporte,"650,00"
Combustível,"350,00"
Aplicativo,"200,00"
Estacionamento,"100,00"
Mecanico,---
Pedagio,---
Viagem,---
Gastos Viagens,---
Hoteis,---
Passagem,---
Turismo,---
